,CELL_NAME,IPI_TUNING_ERROR_RMS,FREQ_TUNING_ERROR_RMS,PRESYNAPTIC_TOTAL,PRESYNAPTIC_MISSING,W_PRE_E_TOTAL,W_PRE_I_TOTAL,W_PRE_E_MISSING,W_PRE_I_MISSING,DATA_RESPONSE_IPI_16_MS,DATA_RESPONSE_IPI_36_MS,DATA_RESPONSE_IPI_56_MS,DATA_RESPONSE_IPI_76_MS,DATA_RESPONSE_IPI_96_MS,MODEL_RESPONSE_IPI_16_MS,MODEL_RESPONSE_IPI_36_MS,MODEL_RESPONSE_IPI_56_MS,MODEL_RESPONSE_IPI_76_MS,MODEL_RESPONSE_IPI_96_MS,DATA_RESPONSE_FREQ_100_HZ,DATA_RESPONSE_FREQ_200_HZ,DATA_RESPONSE_FREQ_300_HZ,DATA_RESPONSE_FREQ_500_HZ,DATA_RESPONSE_FREQ_800_HZ,MODEL_RESPONSE_FREQ_100_HZ,MODEL_RESPONSE_FREQ_200_HZ,MODEL_RESPONSE_FREQ_300_HZ,MODEL_RESPONSE_FREQ_500_HZ,MODEL_RESPONSE_FREQ_800_HZ
44,35916_L3,1.9970299930060336,1.999115295913659,34,27,724.0,-223.0,718.0,-170.0,-17.040994910218142,-13.394721514062912,-9.379029816217198,-12.07172142902503,-11.365904015587748,-11.365904015587748,-11.365904015587748,-11.365904015587748,-11.365904015587748,-11.365904015587748,21.47692518072541,3.7604395358106477,0.6905415103827303,5.680380525218947,0.5746785037386073,0.5746785037386073,0.5746785037386073,0.5746785037386073,0.5746785037386073,0.5746785037386073
45,43299_R10,0.42409027345695244,1.1689815643274364,34,16,93.0,-8.0,55.0,-4.0,20.027086941750408,7.926595176047994,1.5650946784736113,2.4505119230456565,1.7149331776570382,1.7149331776570382,1.7149331776570382,1.7149331776570382,1.7149331776570382,1.7149331776570382,19.761055861057937,15.030566001828806,12.62709522091701,10.030853186941126,6.548436293829025,6.548436293829025,6.548436293829025,6.548436293829025,6.548436293829025,6.548436293829025
46,WED-VLP-2_R4,0.1872601284039273,0.4801086350072357,34,8,262.0,-227.0,0.0,-122.0,19.15228532235518,13.5370708468251,6.571547537525868,5.359821070560954,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,-0.2982939513165806,16.75321712815369,14.676560339474593,1.3428418533812145,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776
47,WED-VLP-2_R3,0.2819371261085962,0.5042820338597207,34,6,185.0,-167.0,6.0,-55.0,19.15228532235518,13.5370708468251,6.571547537525868,5.359821070560954,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,-0.2982939513165806,16.75321712815369,14.676560339474593,1.3428418533812145,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776
48,27936_L2,0.04098387915655056,0.07256913305751457,33,20,95.0,-23.0,77.0,-9.0,19.757261582966716,1.5544939467169472,-6.241359038469759,-4.2550760236723555,-4.206871701595995,-4.206871701595995,-4.206871701595995,-4.206871701595995,-4.206871701595995,-4.206871701595995,20.98139491208755,18.243549676867996,13.518764968921134,7.971215712991818,3.1169045023480355,3.1169045023480355,3.1169045023480355,3.1169045023480355,3.1169045023480355,3.1169045023480355
49,29146_L5,1.1563954260016756,0.07115231086938971,33,9,40.0,-34.0,4.0,-21.0,6.494563995013471,1.9954827175376029,5.7723960026244665,17.351252960537327,0.7753568388206653,0.7753568388206653,0.7753568388206653,0.7753568388206653,0.7753568388206653,0.7753568388206653,4.59250671086354,7.789087933544868,18.940145654922144,0.55758857349239,-0.025476465779116886,-0.025476465779116886,-0.025476465779116886,-0.025476465779116886,-0.025476465779116886,-0.025476465779116886
50,21914_R1,0.8150077071989364,1.4753520032586251,33,13,58.0,-25.0,9.0,-21.0,12.43062681785362,15.719484403603808,18.951026306143046,17.206678014741282,14.606916166687844,14.606916166687844,14.606916166687844,14.606916166687844,14.606916166687844,14.606916166687844,-9.012203359560246,9.107474158920999,12.519778854610554,8.409597466945451,10.555917826580389,10.555917826580389,10.555917826580389,10.555917826580389,10.555917826580389,10.555917826580389
51,WED-VLP-2_R2,0.18007491829487074,0.4684991617826815,33,7,258.0,-176.0,0.0,-60.0,19.15228532235518,13.5370708468251,6.571547537525868,5.359821070560954,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,-0.2982939513165806,16.75321712815369,14.676560339474593,1.3428418533812145,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776
52,WED-VLP-1_R1,0.4629650433895207,0.5081309774527157,33,5,218.0,-192.0,0.0,-105.0,19.15228532235518,13.5370708468251,6.571547537525868,5.359821070560954,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,-0.2982939513165806,16.75321712815369,14.676560339474593,1.3428418533812145,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776
53,B1-3_R4,1.9645746973088642,1.5046159861774233,33,7,18.0,-156.0,2.0,-6.0,17.39566239261251,12.325216633392715,9.665815323985155,7.353774070440401,4.987436491293817,4.987436491293817,4.987436491293817,4.987436491293817,4.987436491293817,4.987436491293817,1.939132977336841,8.138647505541018,17.854711813148224,-4.823556549891937,-3.9683100502967164,-3.9683100502967164,-3.9683100502967164,-3.9683100502967164,-3.9683100502967164,-3.9683100502967164
